iter	Passed	Remaining
281	3741	9526
282	3751	9504
283	3763	9488
284	3778	9478
285	3792	9469
286	3804	9452
287	3814	9431
288	3827	9417
289	3840	9403
290	3852	9387
291	3863	9367
292	3875	9351
293	3887	9335
294	3899	9318
295	3909	9298
296	3922	9283
297	3934	9268
298	3945	9249
299	3957	9233
300	3971	9223
301	3985	9212
302	4001	9203
303	4011	9184
304	4023	9167
305	4036	9153
306	4048	9137
307	4060	9122
308	4073	9109
309	4085	9094
310	4097	9077
311	4107	9057
312	4119	9042
313	4133	9029
314	4145	9013
315	4155	8995
316	4169	8982
317	4187	8981
318	4207	8982
319	4223	8974
320	4235	8958
321	4248	8946
322	4262	8933
323	4275	8919
324	4288	8906
325	4300	8891
326	4314	8879
327	4328	8867
328	4343	8857
329	4357	8846
330	4369	8831
331	4383	8819
332	4396	8806
333	4410	8794
334	4424	8782
335	4436	8767
336	4447	8750
337	4459	8734
338	4472	8720
339	4485	8707
340	4501	8700
341	4516	8689
342	4529	8676
343	4545	8667
344	4559	8656
345	4574	8646
346	4587	8633
347	4603	8624
348	4618	8614
349	4631	8601
350	4642	8584
351	4655	8569
352	4671	8561
353	4685	8550
354	4701	8542
355	4716	8532
356	4731	8522
357	4747	8512
358	4760	8500
359	4775	8489
360	4789	8477
361	4802	8464
362	4828	8473
363	4845	8466
364	4861	8458
365	4875	8445
366	4893	8439
367	4905	8425
368	4916	8407
369	4929	8393
370	4941	8377
371	4953	8361
372	4964	8344
373	4976	8329
374	4989	8315
375	4999	8296
376	5012	8282
377	5025	8269
378	5040	8259
379	5054	8246
380	5065	8228
381	5076	8212
382	5092	8203
383	5110	8197
384	5127	8190
385	5141	8178
386	5154	8164
387	5165	8148
388	5176	8130
389	5189	8116
390	5202	8102
391	5213	8086
392	5223	8067
393	5236	8053
394	5250	8042
395	5261	8025
396	5273	8009
397	5286	7995
398	5301	7985
399	5314	7971
400	5325	7955
401	5339	7943
402	5353	7930
403	5367	7918
404	5381	7905
405	5392	7889
406	5403	7872
